Sea,Structure,Data
Gulf of Thailand,- Gulf of Thailand,NA
Halmahera Sea,- Halmahera Sea,NA
Java Sea,- Java Sea,NA
Koro Sea,- Koro Sea,NA
Molucca Sea,- Molucca Sea,NA
Philippine Sea,- Philippine Sea,NA
Savu Sea,- Savu Sea,NA
Sea of Japan,- Sea of Japan,NA
Sea of Okhotsk,- Sea of Okhotsk,NA
Seto Inland Sea,- Seto Inland Sea,NA
Sibuyan Sea,- Sibuyan Sea,NA
Solomon Sea,- Solomon Sea,NA
South China Sea,- South China Sea,NA
Sulu Sea,- Sulu Sea,NA
Tasman Sea,- Tasman Sea,NA
Visayan Sea,- Visayan Sea,NA
Yellow Sea,- Yellow Sea,NA
